NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 성동구 옥수동,561,561,0,래미안 옥수 리버젠,113.52,202305,14,"172,000",108,5,-,-,2012,매봉길 15,-,직거래,-,23.05.17
2,서울특별시 성동구 옥수동,250,250,0,옥수삼성,114.666,202305,13,"169,500",109,8,-,-,1999,독서당로 218,-,중개거래,서울 성동구,23.10.12
3,서울특별시 성동구 옥수동,250,250,0,옥수삼성,84.822,202305,13,"137,500",107,6,-,-,1999,독서당로 218,-,중개거래,서울 성동구,23.10.23
4,서울특별시 성동구 옥수동,561,561,0,래미안 옥수 리버젠,59.97,202305,13,"144,200",109,9,-,-,2012,매봉길 15,-,중개거래,서울 성동구,23.07.24
5,서울특별시 성동구 옥수동,250,250,0,옥수삼성,114.666,202305,10,"157,500",104,10,-,-,1999,독서당로 218,-,중개거래,서울 성동구,23.12.26
6,서울특별시 성동구 옥수동,528,528,0,옥수파크힐스101동~116동,84.3,202305,10,"160,000",116,7,-,-,2016,매봉길 50,-,중개거래,서울 성동구,23.06.15
7,서울특별시 성동구 옥수동,528,528,0,옥수파크힐스101동~116동,59.88,202305,10,"137,500",112,16,-,-,2016,매봉길 50,-,중개거래,서울 강남구 서울 성동구,23.06.15
8,서울특별시 성동구 옥수동,561,561,0,래미안 옥수 리버젠,59.25,202305,10,"135,000",-,13,-,-,2012,매봉길 15,20230602,중개거래,서울 성동구,-
9,서울특별시 성동구 옥수동,250,250,0,옥수삼성,84.822,202305,6,"135,000",107,13,-,-,1999,독서당로 218,-,중개거래,서울 성동구,23.07.25
10,서울특별시 성동구 옥수동,528-1,528,1,옥수파크힐스117동~125동,59.59,202305,6,"137,000",117,9,-,-,2016,매봉길 50,-,중개거래,서울 성동구,23.08.11
11,서울특별시 성동구 옥수동,561,561,0,래미안 옥수 리버젠,84.73,202305,5,"162,000",110,6,-,-,2012,매봉길 15,-,중개거래,서울 성동구,23.08.08
12,서울특별시 성동구 옥수동,561,561,0,래미안 옥수 리버젠,84.73,202305,4,"162,000",-,6,-,-,2012,매봉길 15,20230602,중개거래,서울 성동구,-
13,서울특별시 성동구 옥수동,528,528,0,옥수파크힐스101동~116동,84.3,202305,3,"163,000",110,13,-,-,2016,매봉길 50,-,중개거래,서울 성동구,23.05.10
14,서울특별시 성동구 옥수동,528-1,528,1,옥수파크힐스117동~125동,59.59,202304,30,"135,000",118,9,-,-,2016,매봉길 50,-,중개거래,서울 성동구,23.07.28
15,서울특별시 성동구 옥수동,561,561,0,래미안 옥수 리버젠,59.25,202304,29,"133,500",111,20,-,-,2012,매봉길 15,-,중개거래,서울 성동구,23.06.23
16,서울특별시 성동구 옥수동,528,528,0,옥수파크힐스101동~116동,59.88,202304,28,"139,000",113,8,-,-,2016,매봉길 50,-,중개거래,서울 성동구,23.06.16
17,서울특별시 성동구 옥수동,561,561,0,래미안 옥수 리버젠,59.25,202304,27,"120,500",107,1,-,-,2012,매봉길 15,-,중개거래,서울 성동구,23.06.27
18,서울특별시 성동구 옥수동,561,561,0,래미안 옥수 리버젠,84.51,202304,27,"157,000",108,12,-,-,2012,매봉길 15,-,중개거래,서울 성동구,23.05.31
19,서울특별시 성동구 옥수동,528,528,0,옥수파크힐스101동~116동,84.3,202304,26,"166,000",114,16,-,-,2016,매봉길 50,-,중개거래,서울 서초구 서울 성동구,23.05.30
20,서울특별시 성동구 옥수동,4,4,0,현대,71.05,202304,24,"122,000",103,9,-,-,1990,독서당로40길 25,-,중개거래,서울 성동구,23.06.30
21,서울특별시 성동구 옥수동,250,250,0,옥수삼성,114.666,202304,22,"155,000",104,10,-,-,1999,독서당로 218,-,중개거래,서울 성동구 서울 용산구,23.06.30
22,서울특별시 성동구 옥수동,250,250,0,옥수삼성,59.7,202304,19,"107,000",103,6,-,-,1999,독서당로 218,-,중개거래,서울 성동구,23.04.27
23,서울특별시 성동구 옥수동,528,528,0,옥수파크힐스101동~116동,59.91,202304,19,"137,000",110,7,-,-,2016,매봉길 50,-,중개거래,서울 성동구,23.05.26
24,서울특별시 성동구 옥수동,561,561,0,래미안 옥수 리버젠,84.81,202304,19,"159,000",114,7,-,-,2012,매봉길 15,-,중개거래,서울 성동구,23.07.20
25,서울특별시 성동구 옥수동,4,4,0,현대,71.05,202304,16,"120,000",103,13,-,-,1990,독서당로40길 25,-,중개거래,서울 성동구,23.08.09
26,서울특별시 성동구 옥수동,250,250,0,옥수삼성,59.7,202304,15,"118,500",103,14,-,-,1999,독서당로 218,-,중개거래,서울 성동구,23.06.16
27,서울특별시 성동구 옥수동,250,250,0,옥수삼성,84.822,202304,15,"129,000",105,14,-,-,1999,독서당로 218,-,중개거래,서울 성동구,23.07.19
28,서울특별시 성동구 옥수동,561,561,0,래미안 옥수 리버젠,59.25,202304,15,"135,000",102,15,-,-,2012,매봉길 15,-,중개거래,서울 성동구,23.06.30
29,서울특별시 성동구 옥수동,250,250,0,옥수삼성,59.7,202304,7,"107,000",101,11,-,-,1999,독서당로 218,-,중개거래,서울 성동구,23.04.18
30,서울특별시 성동구 옥수동,561,561,0,래미안 옥수 리버젠,59.98,202304,5,"127,500",105,12,-,-,2012,매봉길 15,-,중개거래,서울 성동구,23.06.14
31,서울특별시 성동구 옥수동,561,561,0,래미안 옥수 리버젠,84.73,202304,4,"157,000",102,5,-,-,2012,매봉길 15,-,중개거래,서울 성동구,23.04.14
32,서울특별시 성동구 옥수동,528,528,0,옥수파크힐스101동~116동,84.64,202304,1,"160,000",102,8,-,-,2016,매봉길 50,-,중개거래,서울 성동구,23.06.30
33,서울특별시 성동구 옥수동,250,250,0,옥수삼성,114.666,202303,27,"149,000",104,6,-,-,1999,독서당로 218,-,중개거래,서울 성동구,23.10.20
34,서울특별시 성동구 옥수동,561,561,0,래미안 옥수 리버젠,59.25,202303,27,"128,000",106,11,-,-,2012,매봉길 15,-,중개거래,서울 성동구,23.05.31
35,서울특별시 성동구 옥수동,528,528,0,옥수파크힐스101동~116동,84.51,202303,21,"158,500",102,6,-,-,2016,매봉길 50,-,직거래,-,23.04.20
36,서울특별시 성동구 옥수동,561,561,0,래미안 옥수 리버젠,59.25,202303,18,"127,500",106,12,-,-,2012,매봉길 15,-,중개거래,서울 성동구,23.08.10
37,서울특별시 성동구 옥수동,561,561,0,래미안 옥수 리버젠,59.25,202303,18,"129,000",110,10,-,-,2012,매봉길 15,-,중개거래,서울 성동구,23.06.28
38,서울특별시 성동구 옥수동,528,528,0,옥수파크힐스101동~116동,84.51,202303,15,"155,000",101,5,-,-,2016,매봉길 50,-,중개거래,서울 성동구,23.03.22
39,서울특별시 성동구 옥수동,528-1,528,1,옥수파크힐스117동~125동,59.59,202303,11,"128,500",118,13,-,-,2016,매봉길 50,-,중개거래,서울 성동구,23.05.31
40,서울특별시 성동구 옥수동,561,561,0,래미안 옥수 리버젠,59.84,202303,11,"112,500",107,1,-,-,2012,매봉길 15,-,중개거래,서울 성동구,23.06.30
41,서울특별시 성동구 옥수동,561,561,0,래미안 옥수 리버젠,113.52,202303,11,"213,000",108,11,-,-,2012,매봉길 15,-,중개거래,서울 성동구,23.05.31
42,서울특별시 성동구 옥수동,428,428,0,극동,148.23,202303,9,"168,000",2,2,-,-,1986,독서당로 191,-,중개거래,서울 성동구,23.05.19
43,서울특별시 성동구 옥수동,4,4,0,현대,58.72,202303,7,"109,000",107,8,-,-,1990,독서당로40길 25,-,중개거래,서울 성동구,23.05.25
44,서울특별시 성동구 옥수동,428,428,0,극동,68.58,202303,6,"97,000",7,2,-,-,1986,독서당로 191,-,중개거래,서울 성동구,23.05.30
45,서울특별시 성동구 옥수동,436,436,0,극동그린,84.92,202303,4,"104,000",101,5,-,-,1997,독서당로 175,-,중개거래,서울 성동구,23.05.19
46,서울특별시 성동구 옥수동,561,561,0,래미안 옥수 리버젠,59.25,202303,4,"125,000",109,6,-,-,2012,매봉길 15,-,중개거래,서울 성동구,23.04.20
47,서울특별시 성동구 옥수동,560,560,0,옥수어울림,128.534,202303,4,"205,000",101,10,-,-,2011,독서당로40길 37,-,중개거래,서울 성동구,23.07.14
48,서울특별시 성동구 옥수동,4,4,0,현대,71.05,202303,3,"115,000",106,5,-,-,1990,독서당로40길 25,-,중개거래,서울 성동구,23.06.30
49,서울특별시 성동구 옥수동,528,528,0,옥수파크힐스101동~116동,59.88,202302,28,"138,000",102,18,-,-,2016,매봉길 50,-,중개거래,서울 성동구,23.05.18
50,서울특별시 성동구 옥수동,561,561,0,래미안 옥수 리버젠,59.25,202302,22,"129,500",110,8,-,-,2012,매봉길 15,-,중개거래,서울 성동구,23.05.18
