NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 종로구 청운동,108-13,108,13,청운빌라A동,122.16,97.57,202303,17,"58,000",2,-,-,2000,자하문로 98,-,직거래,-,-
2,서울특별시 종로구 청운동,52-129,52,129,청운테리하우스,84.93,98.075,202208,9,"117,000",1,-,-,2021,자하문로33다길 16,-,중개거래,서울 종로구,-
3,서울특별시 종로구 청운동,56-49,56,49,그린카운티,144.21,81.575,202207,16,"115,000",1,-,-,2004,자하문로33나길 35,-,중개거래,서울 종로구,-
4,서울특별시 종로구 청운동,1,1,0,청운벽산빌리지,141.39,137.03,202206,10,"145,000",2,-,-,1988,자하문로36길 16-14,-,중개거래,서울 종로구,-
5,서울특별시 종로구 청운동,1,1,0,청운벽산빌리지,157.25,152.4,202305,2,"130,000",2,-,-,1988,자하문로36길 16-14,-,중개거래,서울 종로구,-
6,서울특별시 종로구 청운동,56-41,56,41,MJ하이빌,74.97,56.74,202303,17,"50,000",2,-,-,2007,자하문로33나길 15,-,중개거래,서울 종로구,-
7,서울특별시 종로구 청운동,52-134,52,134,청운힐하우스(4동),132.95,99.73,202303,3,"82,000",1,-,-,2021,자하문로 131-28,-,직거래,-,-
8,서울특별시 종로구 청운동,52-134,52,134,청운힐하우스(4동),149.28,111.97,202301,2,"148,000",2,-,-,2021,자하문로 131-28,-,중개거래,서울 종로구,-
9,서울특별시 종로구 청운동,52-129,52,129,청운테리하우스,84.93,98.075,202211,20,"125,000",-1,-,-,2021,자하문로33다길 16,-,직거래,-,-
10,서울특별시 용산구 후암동,244-101,244,101,용산더힐(101),21.46,12.79,202205,23,"19,500",4,-,-,2012,후암로16길 15,-,중개거래,서울 용산구,-
11,서울특별시 용산구 후암동,392-9,392,9,두산하이츠빌,73,40.23,202205,23,"84,000",3,-,-,2002,두텁바위로37길 10,-,중개거래,서울 용산구,-
12,서울특별시 용산구 후암동,254-9,254,9,에코빌,16.66,12.56,202205,26,"33,000",5,-,-,2017,후암로4길 28-10,-,중개거래,서울 용산구,-
13,서울특별시 용산구 후암동,Apr-38,38,4,해나루7,59.83,33.98,202205,28,"75,000",4,-,-,2014,후암로34길 21-7,-,중개거래,서울 용산구,-
14,서울특별시 용산구 후암동,399-3,399,3,마이다스빌(Ⅱ),63.84,35.734,202205,28,"47,500",1,-,-,2001,두텁바위로 110-4,20220719,중개거래,서울 용산구,-
15,서울특별시 용산구 후암동,244-98,244,98,해나루8,55.23,33.43,202205,30,"90,000",3,-,-,2015,후암로22길 32,-,중개거래,서울 용산구,-
16,서울특별시 용산구 후암동,30-57,30,57,(30-57),47.28,31,202206,1,"49,000",-1,-,-,1995,두텁바위로75길 15,-,중개거래,서울 용산구,-
17,서울특별시 용산구 후암동,284-1,284,1,한성빌라,57.65,39.785,202206,8,"78,500",2,-,-,2002,후암로4길 53,20230306,중개거래,서울 용산구,-
18,서울특별시 용산구 후암동,30-32,30,32,(30-32),50.01,29,202206,9,"55,000",4,-,-,2008,후암로34길 27,-,중개거래,서울 용산구,-
19,서울특별시 용산구 후암동,406-7,406,7,(406-7),22.94,20.14,202206,18,"29,500",3,-,-,2007,두텁바위로40길 15,-,중개거래,서울 용산구,-
20,서울특별시 용산구 후암동,Apr-46,46,4,(46-4),28.05,20.92,202206,18,"40,000",1,-,-,2011,두텁바위로69길 15-8,-,중개거래,경기 성남분당구,-
21,서울특별시 용산구 후암동,May-55,55,5,새한그린빌라,21.44,11.74,202206,20,"27,000",4,-,-,1995,후암로28라길 15-1,-,중개거래,서울 용산구,-
22,서울특별시 용산구 후암동,409-75,409,75,(409-75),58.85,25.925,202206,24,"29,000",-1,-,-,1999,두텁바위로38길 40,-,중개거래,서울 용산구,-
