NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,서울특별시 성동구 옥수동,475,475,0,한남 더 리버 오피스텔,39.89,202206,14,"45,500",13,-,-,2004,독서당로 166,20220707,중개거래,서울 용산구
2,서울특별시 성동구 옥수동,475,475,0,한남 더 리버 오피스텔,39.89,202207,14,"45,500",13,-,-,2004,독서당로 166,-,중개거래,서울 용산구
3,서울특별시 성동구 옥수동,475,475,0,한남 더 리버 오피스텔,27.01,202207,21,"23,500",9,-,-,2004,독서당로 166,-,중개거래,서울 성동구
4,서울특별시 성동구 옥수동,475,475,0,한남 더 리버 오피스텔,27.01,202209,29,"24,000",10,-,-,2004,독서당로 166,-,중개거래,서울 강남구 서울 성동구
5,서울특별시 성동구 옥수동,475,475,0,한남 더 리버 오피스텔,30.75,202210,3,"22,900",13,-,-,2004,독서당로 166,-,중개거래,서울 성동구
6,서울특별시 성동구 옥수동,475,475,0,한남 더 리버 오피스텔,25.6,202304,7,"17,500",13,-,-,2004,독서당로 166,-,중개거래,서울 성동구
7,서울특별시 종로구 적선동,156,156,0,광화문 플래티넘,43.47,202206,22,"31,000",4,-,-,2003,새문안로5가길 28,-,직거래,-
8,서울특별시 종로구 적선동,156,156,0,광화문 플래티넘,45.36,202208,5,"35,000",11,-,-,2003,새문안로5가길 28,-,중개거래,서울 종로구
9,서울특별시 종로구 적선동,156,156,0,광화문 플래티넘,45.36,202210,31,"31,500",6,-,-,2003,새문안로5가길 28,-,중개거래,서울 종로구
10,서울특별시 종로구 적선동,156,156,0,광화문 플래티넘,43.92,202302,10,"33,700",13,-,-,2003,새문안로5가길 28,-,중개거래,서울 종로구
11,서울특별시 종로구 적선동,156,156,0,광화문 플래티넘,45.36,202304,26,"33,000",11,-,-,2003,새문안로5가길 28,-,중개거래,서울 종로구
12,서울특별시 종로구 필운동,285-5,285,5,파크뷰타워,34.2,202205,31,"22,700",5,-,-,1998,사직로 96,-,중개거래,서울 종로구
13,서울특별시 종로구 필운동,285-5,285,5,파크뷰타워,21.85,202206,10,"15,000",4,-,-,1998,사직로 96,-,중개거래,서울 종로구
14,서울특별시 종로구 필운동,285-5,285,5,파크뷰타워,24.3,202206,13,"16,700",7,-,-,1998,사직로 96,-,중개거래,서울 종로구
15,서울특별시 종로구 필운동,285-5,285,5,파크뷰타워,23.24,202305,10,"16,500",9,-,-,1998,사직로 96,-,중개거래,서울 종로구
16,서울특별시 종로구 사직동,9,9,0,광화문 스페이스본,39.54,202205,24,"37,500",7,-,-,2008,사직로8길 4,-,중개거래,서울 종로구
17,서울특별시 종로구 사직동,9,9,0,광화문 스페이스본,39.54,202208,3,"39,000",4,-,-,2008,사직로8길 4,-,중개거래,서울 종로구
18,서울특별시 종로구 사직동,9,9,0,광화문 스페이스본,39.54,202209,26,"38,000",11,-,-,2008,사직로8길 4,-,중개거래,서울 종로구
19,서울특별시 종로구 사직동,9,9,0,광화문 스페이스본,39.54,202209,30,"37,500",2,-,-,2008,사직로8길 4,-,중개거래,서울 종로구
20,서울특별시 종로구 사직동,9,9,0,광화문 스페이스본,39.54,202304,11,"38,400",7,-,-,2008,사직로8길 4,-,중개거래,서울 종로구
21,서울특별시 종로구 사직동,9,9,0,광화문 스페이스본,39.54,202304,19,"36,000",9,-,-,2008,사직로8길 4,-,중개거래,서울 종로구
22,서울특별시 종로구 사직동,9,9,0,광화문 스페이스본,39.54,202304,27,"37,500",2,-,-,2008,사직로8길 4,-,중개거래,서울 종로구
23,서울특별시 종로구 사직동,9,9,0,광화문 스페이스본,39.54,202305,10,"39,000",3,-,-,2008,사직로8길 4,20230720,중개거래,서울 종로구
24,서울특별시 종로구 내수동,73,73,0,경희궁의 아침 4단지,28.24,202205,16,"24,500",5,-,-,2004,새문안로3길 23,-,중개거래,서울 종로구
25,서울특별시 종로구 내수동,72,72,0,경희궁의 아침 3단지,37.5,202205,17,"32,750",12,-,-,2004,사직로8길 34,-,중개거래,서울 종로구
26,서울특별시 종로구 내수동,75,75,0,용비어천가,30.42,202205,17,"26,000",14,-,-,2004,새문안로3길 36,-,중개거래,서울 종로구
27,서울특별시 종로구 내수동,74,74,0,광화문시대,34.9,202205,18,"29,400",13,-,-,2004,사직로8길 42,-,중개거래,서울 종로구
28,서울특별시 종로구 내수동,75,75,0,용비어천가,30.42,202205,19,"29,000",15,-,-,2004,새문안로3길 36,-,중개거래,서울 종로구
29,서울특별시 종로구 내수동,75,75,0,용비어천가,37.12,202205,31,"32,000",16,-,-,2004,새문안로3길 36,-,중개거래,서울 종로구
30,서울특별시 종로구 내수동,72,72,0,경희궁의 아침 3단지,37.5,202206,9,"30,700",3,-,-,2004,사직로8길 34,-,중개거래,서울 종로구
31,서울특별시 종로구 내수동,75,75,0,용비어천가,41.34,202206,9,"28,000",5,-,-,2004,새문안로3길 36,-,중개거래,서울 종로구
32,서울특별시 종로구 내수동,167,167,0,도렴구역 제18지구,67.36,202206,13,"58,420",8,-,-,1994,새문안로3길 30,-,중개거래,서울 종로구
33,서울특별시 종로구 내수동,75,75,0,용비어천가,33,202206,13,"27,000",3,-,-,2004,새문안로3길 36,20220622,중개거래,서울 종로구
34,서울특별시 종로구 내수동,71,71,0,경희궁의 아침 2단지,32.43,202206,14,"28,000",2,-,-,2004,사직로8길 24,-,중개거래,서울 종로구
35,서울특별시 종로구 내수동,75,75,0,용비어천가,37.56,202206,15,"26,000",5,-,-,2004,새문안로3길 36,-,중개거래,서울 종로구
36,서울특별시 종로구 내수동,75,75,0,용비어천가,30.36,202206,17,"24,000",5,-,-,2004,새문안로3길 36,-,중개거래,서울 종로구
37,서울특별시 종로구 내수동,75,75,0,용비어천가,41.12,202206,23,"37,000",17,-,-,2004,새문안로3길 36,-,중개거래,서울 종로구
38,서울특별시 종로구 내수동,75,75,0,용비어천가,30.42,202207,7,"25,000",10,-,-,2004,새문안로3길 36,-,중개거래,서울 종로구
39,서울특별시 종로구 내수동,75,75,0,용비어천가,33,202207,14,"32,000",17,-,-,2004,새문안로3길 36,-,중개거래,서울 종로구
40,서울특별시 종로구 내수동,73,73,0,경희궁의 아침 4단지,41.74,202207,15,"36,500",13,-,-,2004,새문안로3길 23,-,중개거래,서울 종로구
41,서울특별시 종로구 내수동,75,75,0,용비어천가,33,202207,21,"26,000",2,-,-,2004,새문안로3길 36,-,중개거래,서울 종로구
42,서울특별시 종로구 내수동,72,72,0,경희궁의 아침 3단지,37.5,202208,19,"30,500",3,-,-,2004,사직로8길 34,-,중개거래,서울 종로구
43,서울특별시 종로구 내수동,75,75,0,용비어천가,37.56,202208,22,"29,000",2,-,-,2004,새문안로3길 36,-,중개거래,서울 종로구
44,서울특별시 종로구 내수동,75,75,0,용비어천가,45.89,202208,24,"43,700",9,-,-,2004,새문안로3길 36,20230119,중개거래,서울 종로구
45,서울특별시 종로구 내수동,75,75,0,용비어천가,45.98,202209,5,"34,000",14,-,-,2004,새문안로3길 36,-,직거래,-
46,서울특별시 종로구 내수동,75,75,0,용비어천가,37.56,202209,7,"27,000",6,-,-,2004,새문안로3길 36,-,중개거래,서울 종로구
47,서울특별시 종로구 내수동,73,73,0,경희궁의 아침 4단지,28.24,202210,19,"23,500",3,-,-,2004,새문안로3길 23,-,중개거래,서울 종로구
48,서울특별시 종로구 내수동,71,71,0,경희궁의 아침 2단지,29.41,202210,31,"26,000",15,-,-,2004,사직로8길 24,-,중개거래,서울 종로구
49,서울특별시 종로구 내수동,72,72,0,경희궁의 아침 3단지,37.5,202211,9,"32,000",10,-,-,2004,사직로8길 34,-,중개거래,서울 종로구
50,서울특별시 종로구 내수동,73,73,0,경희궁의 아침 4단지,40.03,202301,11,"35,500",16,-,-,2004,새문안로3길 23,-,중개거래,서울 종로구
51,서울특별시 종로구 내수동,72,72,0,경희궁의 아침 3단지,37.5,202301,17,"30,000",9,-,-,2004,사직로8길 34,-,중개거래,서울 종로구
52,서울특별시 종로구 내수동,74,74,0,광화문시대,34.9,202301,26,"29,600",14,-,-,2004,사직로8길 42,-,중개거래,서울 종로구
53,서울특별시 종로구 내수동,75,75,0,용비어천가,42.83,202302,4,"39,500",15,-,-,2004,새문안로3길 36,-,중개거래,서울 종로구
54,서울특별시 종로구 내수동,71,71,0,경희궁의 아침 2단지,32.43,202302,6,"26,000",3,-,-,2004,사직로8길 24,20230214,중개거래,서울 종로구
55,서울특별시 종로구 내수동,73,73,0,경희궁의 아침 4단지,28.24,202302,9,"24,000",6,-,-,2004,새문안로3길 23,-,중개거래,서울 종로구
56,서울특별시 종로구 내수동,71,71,0,경희궁의 아침 2단지,51.02,202303,3,"54,000",16,-,-,2004,사직로8길 24,-,중개거래,서울 종로구
57,서울특별시 종로구 내수동,75,75,0,용비어천가,45.89,202303,3,"43,600",9,-,-,2004,새문안로3길 36,-,중개거래,서울 종로구
58,서울특별시 종로구 내수동,73,73,0,경희궁의 아침 4단지,28.24,202303,8,"24,500",8,-,-,2004,새문안로3길 23,-,중개거래,서울 종로구
59,서울특별시 종로구 내수동,72,72,0,경희궁의 아침 3단지,63.96,202303,14,"62,500",12,-,-,2004,사직로8길 34,20230320,중개거래,서울 종로구
60,서울특별시 종로구 내수동,72,72,0,경희궁의 아침 3단지,63.96,202303,20,"62,500",12,-,-,2004,사직로8길 34,-,중개거래,서울 종로구
61,서울특별시 종로구 내수동,73,73,0,경희궁의 아침 4단지,28.24,202303,24,"24,000",4,-,-,2004,새문안로3길 23,-,중개거래,서울 종로구
62,서울특별시 종로구 내수동,75,75,0,용비어천가,30.36,202304,4,"24,600",8,-,-,2004,새문안로3길 36,-,중개거래,서울 종로구
63,서울특별시 종로구 내수동,74,74,0,광화문시대,38.88,202304,5,"35,500",10,-,-,2004,사직로8길 42,-,중개거래,서울 종로구
64,서울특별시 종로구 내수동,75,75,0,용비어천가,45.98,202304,5,"31,000",10,-,-,2004,새문안로3길 36,-,중개거래,서울 종로구
65,서울특별시 종로구 내수동,72,72,0,경희궁의 아침 3단지,37.5,202304,11,"30,000",8,-,-,2004,사직로8길 34,-,중개거래,서울 종로구
66,서울특별시 종로구 내수동,71,71,0,경희궁의 아침 2단지,57.8,202304,11,"61,200",5,-,-,2004,사직로8길 24,-,중개거래,서울 종로구
67,서울특별시 종로구 내수동,75,75,0,용비어천가,41.38,202304,25,"26,400",6,-,-,2004,새문안로3길 36,-,중개거래,서울 종로구
68,서울특별시 종로구 신문로1가,163,163,0,광화문오피시아빌딩,41.71,202207,8,"48,700",19,-,-,2005,새문안로 92,20220824,중개거래,서울 종로구
69,서울특별시 종로구 신문로1가,163,163,0,광화문오피시아빌딩,41.71,202208,24,"49,000",19,-,-,2005,새문안로 92,-,중개거래,서울 종로구
70,서울특별시 종로구 신문로1가,163,163,0,광화문오피시아빌딩,41.71,202208,29,"48,000",17,-,-,2005,새문안로 92,-,중개거래,서울 종로구
71,서울특별시 종로구 신문로1가,163,163,0,광화문오피시아빌딩,41.71,202210,5,"47,900",17,-,-,2005,새문안로 92,-,중개거래,서울 종로구
72,서울특별시 종로구 신문로1가,163,163,0,광화문오피시아빌딩,46.77,202302,24,"59,000",16,-,-,2005,새문안로 92,-,중개거래,서울 종로구
73,서울특별시 종로구 신문로2가,171,171,0,디팰리스,70.697,202209,27,"148,000",5,-,-,2020, ,-,중개거래,서울 종로구
74,서울특별시 종로구 신문로2가,171,171,0,디팰리스,70.697,202210,25,"145,000",4,-,-,2020, ,-,중개거래,서울 강남구 서울 종로구
75,서울특별시 종로구 신문로2가,171,171,0,디팰리스,53.748,202302,13,"130,000",7,-,-,2020, ,20230703,중개거래,서울 용산구 서울 종로구
76,서울특별시 종로구 신문로2가,171,171,0,디팰리스,53.748,202302,13,"130,000",7,-,-,2020, ,-,중개거래,서울 용산구 서울 종로구
77,서울특별시 종로구 신문로2가,171,171,0,디팰리스,51.336,202304,28,"115,000",7,-,-,2020, ,-,직거래,-
