NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,서울특별시 성동구 옥수동,3**,단독,8m미만,29.4,30,202307,29,"19,000",-,-,1986,한림말3길,-,직거래,-
2,서울특별시 성동구 옥수동,3**,단독,,105.55,106,202310,18,"96,000",-,-,1968,독서당로42길,-,중개거래,서울 서초구
3,서울특별시 종로구 청운동,1**,단독,25m이상,273.06,106.8,202310,16,"258,400",-,-,1993,자하문로,-,중개거래,서울 종로구
4,서울특별시 종로구 효자동,5*,단독,8m미만,55.24,92.6,202311,6,"128,000",-,-,1970,자하문로,-,중개거래,서울 종로구
5,서울특별시 종로구 효자동,1**,단독,,283.35,155.4,202403,8,"282,000",개인,개인,2013,자하문로24길,-,중개거래,서울 종로구
6,서울특별시 종로구 창성동,1**,단독,25m이상,345.88,356.4,202305,17,"730,000",-,-,1970,자하문로,-,중개거래,서울 종로구
7,서울특별시 종로구 창성동,1**,단독,8m미만,421.81,600.7,202404,12,"910,000",법인,개인,1968,자하문로12길,-,중개거래,서울 종로구
8,서울특별시 종로구 통의동,2*,단독,8m미만,36.36,59.5,202309,7,"57,500",-,-,1970,효자로7길,-,중개거래,서울 종로구
9,서울특별시 종로구 통의동,2*,단독,8m미만,46.28,89.3,202401,21,"110,000",개인,개인,1900,자하문로8길,-,중개거래,서울 종로구
10,서울특별시 종로구 통인동,1**,단독,8m미만,22.47,46.3,202306,30,"54,611",-,-,1970,자하문로,-,중개거래,서울 종로구
11,서울특별시 종로구 통인동,1**,단독,8m미만,66.91,120.7,202306,30,"145,389",-,-,1970,자하문로,-,중개거래,서울 종로구
12,서울특별시 종로구 통인동,1**,단독,25m미만,436.01,167.3,202308,23,"410,000",-,-,1988,자하문로9길,-,중개거래,"서울 종로구, 서울 중랑구"
13,서울특별시 종로구 누상동,1**,단독,8m미만,33.06,66.1,202307,17,"49,000",-,-,1970,옥인6가길,-,중개거래,서울 종로구
14,서울특별시 종로구 누하동,2**,단독,8m미만,69.42,178.5,202307,3,"100,000",-,-,1970,필운대로3길,-,직거래,-
15,서울특별시 종로구 누하동,2**,단독,8m미만,37.39,69.4,202310,25,"73,000",-,-,1970,필운대로3길,-,중개거래,서울 종로구
16,서울특별시 종로구 누하동,4*,단독,8m미만,49.59,95.9,202312,1,"135,000",-,-,1962,자하문로7길,-,중개거래,서울 강남구
17,서울특별시 종로구 누하동,2**,단독,8m미만,71.11,119,202403,16,"130,000",개인,개인,1945,필운대로3길,-,중개거래,서울 종로구
18,서울특별시 종로구 누하동,1**,단독,8m미만,68.5,107.3,202404,16,"100,000",법인,개인,1961,필운대로5길,-,중개거래,서울 종로구
19,서울특별시 종로구 옥인동,4*,단독,8m미만,27.64,91,202309,22,"68,382",-,-,1970,필운대로9가길,-,중개거래,서울 종로구
20,서울특별시 종로구 옥인동,4*,단독,8m미만,38.61,76.4,202405,10,"59,500",개인,개인,1985,필운대로9가길,-,중개거래,서울 종로구
21,서울특별시 종로구 체부동,8*,단독,8m미만,66.11,86.6,202309,26,"149,340",-,-,1970,자하문로5길,-,중개거래,서울 종로구
22,서울특별시 종로구 체부동,2**,단독,8m미만,109.75,294.9,202312,22,"134,200",-,-,1970,자하문로1라길,-,중개거래,서울 종로구
23,서울특별시 종로구 필운동,1**,단독,8m미만,19.82,49.6,202306,17,"45,400",-,-,1960,사직로9가길,-,중개거래,서울 종로구
24,서울특별시 종로구 필운동,1**,단독,8m미만,324.37,240,202311,27,"110,780",-,-,1973,사직로9가길,-,직거래,-
25,서울특별시 종로구 사직동,3**,단독,8m미만,33.06,59.5,202306,16,"78,000",-,-,1970,경희궁3나길,-,중개거래,서울 종로구
26,서울특별시 종로구 사직동,3**,단독,8m미만,34.36,101.1,202307,29,"110,000",-,-,1970,경희궁3가길,-,중개거래,서울 종로구
27,서울특별시 종로구 사직동,3**,단독,8m미만,30.76,65.1,202308,30,"84,250",-,-,1985,경희궁3가길,-,중개거래,서울 종로구
28,서울특별시 종로구 신문로2가,*,단독,8m미만,198.82,130.6,202305,23,"150,000",-,-,1970,경희궁1길,-,중개거래,서울 종로구
29,서울특별시 종로구 신문로2가,*,단독,8m미만,18.87,33.4,202307,15,"63,700",-,-,1970,사직로6길,-,중개거래,서울 동대문구
30,서울특별시 종로구 신문로2가,*,단독,8m미만,78.96,171.9,202309,8,"98,000",-,-,1970,사직로6길,-,중개거래,서울 서초구
31,서울특별시 종로구 신문로2가,*,단독,8m미만,66.12,166.3,202310,30,"90,000",-,-,1970,사직로6길,-,직거래,-
32,서울특별시 종로구 관훈동,5*,단독,,49.59,92.6,202402,16,"140,000",개인,개인,1947,인사동12길,-,직거래,-
33,서울특별시 종로구 팔판동,3*,단독,8m미만,27,28.7,202305,30,"27,500",-,-,1970,팔판길,-,중개거래,서울 종로구
34,서울특별시 종로구 삼청동,3*,단독,8m미만,42.97,86,202306,23,"75,000",-,-,1970,북촌로11다길,-,중개거래,서울 종로구
35,서울특별시 종로구 삼청동,3*,단독,8m미만,56.2,135.9,202306,23,"99,500",-,-,1970,북촌로11다길,-,중개거래,서울 종로구
36,서울특별시 종로구 삼청동,3*,다가구,8m미만,143.44,85.3,202307,5,"64,000",-,-,1970,북촌로15길,-,중개거래,서울 노원구
37,서울특별시 종로구 삼청동,1**,다가구,8m미만,105.98,59.5,202307,13,"53,000",-,-,2011,삼청로9길,-,직거래,-
38,서울특별시 종로구 삼청동,2*,단독,8m미만,121.33,96.5,202308,12,"157,000",-,-,1967,삼청로10길,-,중개거래,서울 마포구
39,서울특별시 종로구 삼청동,3*,단독,8m미만,44.98,92.6,202308,25,"97,000",-,-,1970,북촌로11라길,-,중개거래,서울 종로구
40,서울특별시 종로구 삼청동,3*,다가구,8m미만,264.6,115.7,202309,7,"200,000",-,-,1997,북촌로5나길,20231114,중개거래,서울 종로구
41,서울특별시 종로구 삼청동,3*,단독,8m미만,161.98,171.9,202309,23,"193,000",-,-,1970,북촌로11라길,-,중개거래,서울 종로구
42,서울특별시 종로구 삼청동,3*,단독,,151.29,122.3,202310,26,"155,000",-,-,2005,북촌로11길,-,중개거래,서울 종로구
43,서울특별시 종로구 소격동,4*,단독,8m미만,42.98,90.2,202401,26,"85,000",개인,개인,1900,삼청로2길,-,직거래,-
44,서울특별시 종로구 화동,3*,단독,8m미만,192.63,181.8,202312,1,"215,000",-,-,1982,북촌로5나길,-,중개거래,서울 종로구
45,서울특별시 종로구 가회동,3*,단독,8m미만,82.64,181.8,202307,8,"315,000",-,-,1970,북촌로11길,-,중개거래,서울 종로구
46,서울특별시 종로구 가회동,4*,단독,8m미만,87.54,154.2,202307,24,"212,000",-,-,1970,북촌로11길,-,중개거래,서울 종로구
47,서울특별시 종로구 가회동,3*,다가구,8m미만,249.29,271.1,202307,31,"300,000",-,-,1982,북촌로11길,-,중개거래,서울 종로구
48,서울특별시 종로구 가회동,3*,다가구,,615.92,306.5,202311,4,"400,000",-,-,1998,북촌로11길,-,중개거래,서울 종로구
49,서울특별시 종로구 가회동,3*,단독,,97.75,152.1,202311,14,"207,000",-,-,1970,북촌로11나길,-,중개거래,서울 종로구
50,서울특별시 종로구 가회동,3*,단독,8m미만,39.67,69.4,202311,20,"68,500",-,-,1970,북촌로11가길,-,중개거래,서울 서초구
